errand	n.任务， 差使， 差事， 使命
redemption	n.赎回， 赎身， 偿还， 拯救
carefree attitude	无忧无虑的态度
kidnap	vt.绑架，劫持
sordid	adj.肮脏的， 贪婪的， 卑鄙的， 恶劣的， 暗淡的
blame	v.责备， 归咎于n.过失， 责备
riot	n.暴动， 喧闹， 放纵v.发动， 暴动， 纵情， 放荡;浪费， 挥霍
on the ropes	倒在栏索上， 处于困境， 濒于失败
lack thereof...	缺乏。
what a relief!	真是松了一口气
bail	n.保释， 保释人， 保释金， 拎环， 杓， 三柱门上的横木v.保释， 舀水， 担保
confession	n.承认， 忏悔， 告解， 供认， 表白， 坦白， 招供
charter	n.特许状， 执照， 宪章， 章程v.特许， 包租， 发给特许执照
extraterrestrial	adj.地球外的， 地球大气圈外的n.外星生物
distressed	adj.痛苦的， 哀伤的;身体虚弱的;刻意磨损以显古风的v.使忧虑， 使悲伤， 使苦恼
overall	adj.全部的， 全体的， 从头至尾的， 一切在内的adv.从头到尾， 总的说来n.罩衫， 工作服
coot	n.白骨顶(鸟)， 笨人， 傻瓜
the decisive moment	决定性的时刻
adversity	n.逆境， 困境， 不幸， 灾祸， 灾难
adversary	n.(辩论、战斗中的)敌手， 对手
summon	v.召唤， 召集， 号召， 振奋， 唤起， 鼓起
make amends	n.赔偿， 赔罪， 补偿
delinquent	n.行为不良的人， 违法者adj.怠忽的， 有过失的
misdeed	n.罪行， 犯罪
ramble	n.漫步， 随笔v.漫步， 漫谈， 漫游， 蔓延， 闲逛于
clout	n.敲击， 破布v.打补钉， 猛击， 重打
insubordination	n.不顺从， 反抗
second-guess	v.事后劝告， 预言
lasting	adj.持久的
trauma	n.外伤， 损伤
scheme	n.方案， 计划v.计划， 设计， 图谋， 策划
assertive	adj.武断的， 坚定自信的， 坚决主张的，
ominous	adj.恶兆的， 不吉利的， 预兆的
spiral	n.螺旋形之物， 螺线adj.螺旋形的， 盘旋的v.螺旋形下降， 螺旋形上升， 螺旋形行进;使螺旋形行进
innocence	n.清白， 无辜， 无罪， 天真， 纯真， 单纯， 无知， 天真无邪
elusive	adj.难懂的， 易忘的， 难以捉摸的， 逃避的
constellation	n.星座， 荟萃
pry	n.杠杆， 窥探， 好奇者v.打听， 窥探;撬动， 撬开， 费力得到
in no time	马上， 一会儿
stir	v.摇动， 搅和， 搅拌n.骚动， 轰动， 搅动， 监狱， 愤怒情绪
negotiate	v.商议， 谈判， 交涉， 谈妥， 转让， 议定
coward at heart.	内心懦弱。
shun	v.避开， 规避， 避免
hypothetically speaking.	假设地说。
confess	v.承认， 坦白， 忏悔， 供认
raid	n.(警方的)突击搜查v.(警方的)突击搜查
outcast	adj.被逐出的， 被遗弃的， 无家可归的n.被驱逐的人， 流浪者， 被抛弃者， 被排斥者
envious	adj.嫉妒的， 忌妒的， 羡慕的
empathy	n.移情作用， 共鸣
whip	n.鞭子， 抽打， 车夫， 搅拌器v.鞭打， 搅拌， 煽动， 召集， 仓促制成;拍击， 急走， 抽打
faculty room	教员室
goon	n.暴徒， 傻瓜， 蠢人， 受雇暴徒， 愚笨者， 呆子
eerily	adj.怪诞的;奇异的;可怕的
blackmail	n.勒索， 敲诈v.勒索
reassure	v.使...安心， 向...再保证
borrow	v.借;借用
portable	adj.轻便的， 手提(式)的
pillow	n.枕头v.作...的枕头， 垫， 枕于
disgusted	adj.厌恶的;厌烦的;憎恶的v.使作呕， 使厌恶， 使反感
laid bare.	暴露无遗。
prom	n.毕业舞会， (英)音乐会， (美)舞会， 散步道
equestrian	adj.骑术的， 马的， 骑在马背上的n.骑手
cheerleader	n.啦啦队长
allowance	n.津贴， 零用钱， 限额， 折扣， 免税额， 补贴v.定量供应， 给...发津贴
soar	v.高飞， 翱翔n.高扬， 翱翔
hammer out	锤成， 铲平， 设计出
promotion	n.晋级， 晋升， 提升， 推销， 促销， 发扬， 振兴， 创建， 增进
dictatorship	n.独裁者之职位， 独裁， 独裁政权
exploit	v.开发， 剥削n.功绩， 勋绩， 行为
comprehensive	adj.广泛的， 有理解力的， 综合的n.综合中学
mock exam	模拟考试
cooped up	adj.被关在狭小地方里的
mess me up	把我搞砸
suffer the consequences.	自食其果。
you ... scum	你. 人渣
wager	n.赌注， 赌博， 赌物v.下赌注， 向...保证， 打赌
authentic	adj.可靠的， 真实的， 可信的， 真正的
greedy	adj.贪吃的， 贪婪的， 贪心的
disguise	n.假面目， 假装， 伪装v.假装， 隐瞒， 伪装， 假扮， 遮掩， 掩饰
cousin	n.堂兄（弟、姊、妹）;表兄（弟、姊、妹）
quite like this...	很像这样。
spook	n.幽灵， 鬼v.惊吓， 鬼怪般地出没;惊吓而逃窜， 受惊
attic	n.阁楼， 鼓室上的隐窝， 顶楼
lurking up there...	潜伏在上面。
devastated	adj.(极度)不安的， 混乱的， 震惊的v.彻底破坏， 摧毁， 毁灭， 使震惊， 使极为忧伤， 使极为悲痛
custody	n.监护， 保管， 抚养权， 拘留， 监禁
sheriff	n.县治安官
amonymous tip	匿名提示
plenty	pron.大量;众多
miscreant	adj.邪恶的， 邪道的， 异端的n.罪大恶极的人， 恶棍， 异端
digress	v.走向岔道， 离题， 扯到枝节上
bizarre way	奇怪的方式
decorum	n.端正， 礼貌， 合宜， 礼仪
teleporter	传送器;空间移动
gung-ho	adj.有傻劲的， 热心的
courtyard	n.庭院， 天井， 院子
jail	n.监牢， 监狱， 拘留所v.监禁， 下狱
impartial	adj.公平的， 不偏不倚的
sinister	adj.不吉利的， 凶恶的， 左边的
piqued	v.激起（好奇心）
traumatic	adj.外伤的， 痛苦的， 不愉快的， 创伤的
this nightmarish hellscape?	这噩梦般的地狱景象。
homage	n.尊崇， 尊敬， 效忠
revenge	n.报仇， 复仇， 报复v.报仇， 报复
genius	n.天才
you're under arrest!	你被捕了。
gaunt	adj.瘦削的， 寒碜的， 破败的， 憔悴的， 荒凉的
the coin toss	掷硬币
smashed	adj.喝醉酒的v.(哗啦一声)打碎， 打破， 破碎， (使)猛烈撞击， 猛烈碰撞， (用力)撞开， 击穿， 闯过
peculiar thought	奇特的思想
forensic expert.	法医专家。
contort	v.扭弯， 曲解
ripped in half	被撕成两半
circuit	n.电路， 环(行)道， 巡回v.巡回， 周游
irrationally	adv.不合理地， 无理性地
reside in	存在
precious	adj.富贵的， 珍贵的
succumb	v.屈从， 屈服， 死
left this behind	留下了这个。
swarm	n.群， 大群， 蜂群， 分蜂群， 一大群v.分群， 群集， 聚集一块， 云集， 攀， 挤满， 爬， 成群地来回移动
tattered	adj.破烂的， 褴褛的， 衣衫褴褛的
gaze	n.注视， 凝视v.注视， 凝视， 盯
prone to malfunction.	容易出故障。
plaque	n.匾， 饰板， 名牌， 勋章， 胸襟饰物， 血小板
wonky	adj.不稳的， 摇晃的， 靠不住的
echo	n.回声， 回音， 回波， 反响v.发回声， 随声附和， 摹仿， 重复， 反射
cart	n.手推车， 二轮运货马车v.驾运货马车， 用车装载
lay in	贮藏
grumble	n.嘟囔， 牢骚， 咕隆声， 隆隆声， 怨言， 满腹牢骚v.咕哝， 嘟囔， 抱怨， 发牢骚， 发隆隆声
briskly	adv.活泼地， 精神勃勃地， 迅速地
dynamite	v.炸毁， 爆破n.黄色炸药
arsenal	n.兵工厂， 军械库， 武器库
unwind a bit.	放松一点。
you're a natural!	你是个天才。
fabric	n.织物， 布， 结构， 组织， 构造， 建筑物
intricate	adj.复杂的， 错综的， 缠结的， 难懂的
grenade	n.手榴弹
torch	n.火炬， 火把v.故意点燃， 放火烧
vacant	adj.空的， 未住人的， 空白的， 空虚的， 空闲的， 茫然的， 空缺的
bear in mind	记住
suffocate	v.使窒息， 噎住， 闷熄， 闷死， 窒息， 受阻， (使)窒息而死
mope	v.忧郁， 闲荡;使忧郁n.忧郁的人
on the contrary	与此相反， 正相反
kinda	adv.有几分;有一点
dawdle	v.游手好闲， 混日子
plunge	n.钻进， 跳进， 跳水(池)， 猛跌， 落下， 投入， 开始从事， 盲目投资v.投入， 投身于， 跳进， 陷入， 下降
wave	v.挥（手）;招（手）;摆（手）
never regret it	永不后悔
cherish	v.珍爱， 怀有(感情)， 爱护
nerve	n.神经， 胆量v.鼓起勇气
bastard	n.私生子， 劣货adj.私生的， 杂种的， 不合标准的
asinine	adj.驴的， 像驴的， 愚蠢的
pathetic	adj.悲哀的， 可怜的， 感伤的， 差劲的
farce	n.闹剧， 滑稽剧， 胡闹v.用笑话补充
delightful	adj.令人愉快的， 可爱的
slander	n.中伤， 诽谤v.中伤， 诽谤
tolerate	v.容忍， 忍受
incite	v.刺激， 激励， 引诱
bloodshed	n.流血
hypocrisy	n.伪善， 虚伪
instigate	v.教唆， 怂恿， 煽动
spineless	adj.无脊椎的， 没有骨气的， 懦弱的
wears us down	使我们筋疲力尽
imbecile	adj.低能的， 愚钝的， 虚弱的n.低能者， 痴呆， 蠢人
insolent	n.侮慢无礼的人adj.粗野的， 无礼的， 侮慢的， 无耻的， 傲慢的
impaired vision	视力受损
deviant	adj.不正常的n.不正常的人(或物)
assholes	n.肛门;白痴;没人要的东西
prospect	n.景色， 前途， 展望v.勘探， 勘察， 找矿， 有前途
ventilate	v.使空气流通， 使通风， 公开讨论， 公开
family heirloom.	传家宝。
the finest quality.	最好的品质。
labyrinth	n.迷宫， 难解事物， 迷路， 曲径
stumble upon	偶然发现
premises	n.房屋， 上述各点， 上述房屋
villa	n.别墅， 乡间宅第， 庄园
appetite	n.食欲， 胃口， 欲望， 爱好
put some effort	下点功夫。
deserted	adj.被遗弃的， 废弃的， 无人居住的v.抛弃， 离弃， 遗弃(某人)， 舍弃， 离弃(某地方)， 擅离(部队)， 逃走， 开小差
coexist	v.共存， 和平共存
hostage	n.人质， 抵押品
vibration	n.振动， 颤动， 感情的共鸣
snore	n.鼾声， 打鼾v.打鼾度过， 打鼾， 打呼噜
saw	n.锯子， 谚语v.〔用锯子〕锯， 锯开
sanctuary	n.圣所(指教堂、寺院等)， 耶路撒冷的神殿， 避难所
splendid	adj.壮丽的， 辉煌的， 极好的
with lush greenery	绿树成荫
tremendously	adv.极大地， 极端地， 极其地， 非常
mad	adj.生气的;恼火的
loom	n.织布机， 若隐若现的景象v.朦胧地出现， 隐约可见， 可怕地出现
neatly	adv.整洁地， 干净地， 匀称地， 熟练地， 灵巧地
hankering	n.渴望， 切望
berry	n.浆果(葡萄， 番茄)v.采集浆果
poetry	n.诗(总称)
relieve	v.减轻， 救济， 解除， 使免除， 换...的班， 使得到调剂， 使不单调， 衬托， 使显著;救济， 呈鲜明突出
oozing	v.使(液体)缓缓流出， (浓液)渗出， 慢慢流出
corruption	n.腐败， 堕落， 贿赂， 受贿， 贪污
intertwine	v.(使)纠缠， (使)缠绕
inevitable	adj.不可避免的， 必然的
wreckage	n.残骸， 失事， 破坏
sawmill	n.锯木厂， 锯木机
popcorn	n.爆米花
reserve	n.（动植物）保护区
curio	n.古董
fond	adj.喜爱的， 慈爱的， 宠爱的
condo	n.共同统治， 共管下的政府， 共管， 多层公寓大楼， 由个人占用的一套公寓房间
stomach	n.胃;腹部
shellfish	n.水生有壳动物， 贝
cumbersome	adj.笨重的， 麻烦的， 累赘的
aunt	n.姑母;姨母;伯母;婶母;舅母
coward	adj.懦怯的， 胆小的n.懦弱的人， 懦夫， 夹着尾巴的人， 胆小的人
niece	n.侄女， 甥女
